,amountLiquidated,liquidator,snxRedeemed,time,time_human
0,4000000000000000000000,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,1705051740860733757003,1604580933,2020-11-05 12:55:33
1,1,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,0,1604581623,2020-11-05 13:07:03
2,1000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,426262934,1604581759,2020-11-05 13:09:19
3,100000000000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,42626293521518344,1604581868,2020-11-05 13:11:08
4,10000000000000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,4288248100133587114,1604582548,2020-11-05 13:22:28
5,10000000000000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,4288248100133587114,1604582704,2020-11-05 13:25:04
6,50000000000000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,21032504780114722753,1604583299,2020-11-05 13:34:59
7,8000000000000000000,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,3068183196170087329,1604587124,2020-11-05 14:38:44
8,585954735166907744256,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,201855709208741384002,1604622566,2020-11-06 00:29:26
9,27813330805364443426,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,9581422042054085214,1604622581,2020-11-06 00:29:41
10,19010000000000000000000,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,6548760171662636913354,1604623203,2020-11-06 00:40:03
11,653302949057207612163,0xe2bbe5f1538a7c1a8df82a5ae9becf978023a30e,225056514088142338803,1604623278,2020-11-06 00:41:18
12,7512881173439173464,0xf5a7677cc048fdba378acfff8aa9c5886b4957ab,2367956816843292495,1604633743,2020-11-06 03:35:43
13,6214390204081632448580,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,1958690322203379854853,1604633743,2020-11-06 03:35:43
14,6595617351519793970235,0xf5a7677cc048fdba378acfff8aa9c5886b4957ab,2092321020333868677609,1604634064,2020-11-06 03:41:04
15,15058036302465338382,0xef4818607b34a3159e8ffc2c4b4c3492a1901812,5004181248553435715,1604643718,2020-11-06 06:21:58
16,24898489784062333358882,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,7915704844644094420453,1604668674,2020-11-06 13:17:54
17,1462131448623539261748,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,464839477886096297087,1604668674,2020-11-06 13:17:54
18,20000408163265306162134,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,6358511265777987508193,1604668818,2020-11-06 13:20:18
19,1259956991707647821037,0xcf74b755d2ed83e1101e89fddac249e6235d3cfd,400564361525552775474,1604668818,2020-11-06 13:20:18
20,312897084167913950309,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,99475951614076689404,1604668837,2020-11-06 13:20:37
21,204947320011003329942300,0xef4818607b34a3159e8ffc2c4b4c3492a1901812,65156662431243833218650,1604668958,2020-11-06 13:22:38
22,1539464976600014911074,0x8e461b2fdd724c7f5c2af5e41e1578c5ab656e3b,486178917406670207870,1604669087,2020-11-06 13:24:47
23,8000000000000000000000,0x228c1334fc57eb6e02ecc448e749a041124321c1,419798103111263277322,1620917946,2021-05-13 14:59:06
24,2138842927558269063701,0xece1a316476d2cc2ea30260047ff25e20b884f70,126014890534655775084,1620928591,2021-05-13 17:56:31
25,35857938587066950483968,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,2090975125107064429928,1620929015,2021-05-13 18:03:35
26,52572299137287929850080,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,3034078124397519561127,1620929166,2021-05-13 18:06:06
27,10324226745282931548158,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,595836800619686500680,1620929261,2021-05-13 18:07:41
28,12905808877482785374208,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,753240467762363361004,1620930392,2021-05-13 18:26:32
29,15839848910834595004416,0xe51a50e95c5a92cb4650eacf6ffcb3eb25c7a012,923422702685060516359,1620935279,2021-05-13 19:47:59
30,15989937153033153248,0x707adb1f4dbf60ee97c3a12868e89ee8c96bef57,932172463559196284,1620935289,2021-05-13 19:48:09
